CdStationMesureEauxSurface,LbStationMesureEauxSurface,DatePrel,Température,pH,O2_dissous,Conductivité,MES,Turbidité,Carbone_org,Nitrates,Phosphore_total,Azote_Kjeldahl,Orthophosphates,Ammonium,Nitrites,DBO5,DCO
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-01-07,7.0,8.2,12.4,384.0,3.6,3.0,1.9,7.4,0.02,0.6,0.06,0.07,0.03,3.4,6.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-02-04,5.9,8.1,12.7,378.0,22.0,15.0,2.2,7.4,0.04,0.5,0.09,0.08,0.03,2.1,8.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-03-04,5.4,8.3,14.6,420.0,2.4,0.99,1.3,7.8,0.02,0.5,0.04,0.08,0.04,1.8,5.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-04-02,6.7,8.3,11.8,381.0,4.9,2.5,2.7,8.2,0.07,0.5,0.13,0.05,0.05,1.8,5.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-04-29,10.5,8.25,11.5,385.0,6.7,3.2,1.9,5.2,0.13,0.5,0.14,0.08,0.03,2.1,9.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-05-27,12.4,8.3,13.0,339.0,5.1,3.1,1.8,5.3,0.02,0.5,0.05,0.07,0.04,0.8,5.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-06-24,14.9,7.95,10.0,320.0,11.0,2.9,1.6,4.4,0.02,0.5,0.08,0.06,0.03,1.0,6.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-07-22,23.9,8.25,8.0,314.0,3.7,2.6,1.7,4.0,0.02,0.5,0.02,0.05,0.04,0.8,6.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-08-19,23.0,8.2,9.8,310.0,2.0,1.3,1.6,3.9,0.01,0.5,0.03,0.06,0.03,0.7,5.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-09-16,18.0,8.2,9.6,310.0,4.0,2.6,1.9,4.2,0.03,0.5,0.046,0.06,0.03,0.9,6.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-10-14,14.0,8.3,10.1,330.0,5.0,3.0,2.1,5.1,0.03,0.5,0.036,0.07,0.03,1.7,7.0
02000010,LE GRAND CANAL D'ALSACE A ROSENAU,2013-11-12,9.9,8.3,11.1,350.0,18.0,14.3,2.4,5.9,0.04,0.5,0.075,0.05,0.03,1.9,8.0
02000011,LE VIEUX RHIN A KEMBS,2013-01-08,,,,,,,,7.1,,,,,,,
02000011,LE VIEUX RHIN A KEMBS,2013-02-05,5.8,8.05,14.5,357.0,17.0,7.8,2.2,6.9,0.05,0.5,0.08,0.09,0.03,0.6,5.0
02000011,LE VIEUX RHIN A KEMBS,2013-03-05,,,,,,,,7.6,,,,,,,
02000011,LE VIEUX RHIN A KEMBS,2013-04-03,6.6,8.15,11.9,390.0,3.4,1.3,2.3,7.9,0.01,0.5,0.03,0.05,0.05,1.7,5.0
02000011,LE VIEUX RHIN A KEMBS,2013-05-02,,,,,,,,5.6,,,,,,,
02000011,LE VIEUX RHIN A KEMBS,2013-06-25,16.4,8.2,8.8,337.0,13.0,3.6,1.7,4.3,0.02,0.5,0.04,0.06,0.04,0.5,5.0
02000011,LE VIEUX RHIN A KEMBS,2013-07-23,22.8,8.1,8.8,329.0,4.0,1.1,1.6,4.0,0.02,0.5,0.09,0.05,0.05,1.7,6.0
02000011,LE VIEUX RHIN A KEMBS,2013-08-20,,,,,,,,3.9,,,,,,,
02000011,LE VIEUX RHIN A KEMBS,2013-09-17,16.0,8.1,8.7,310.0,40.0,3.7,1.9,4.4,0.03,0.5,0.084,0.1,0.06,0.8,11.0
02000011,LE VIEUX RHIN A KEMBS,2013-10-15,,,,,,,,4.8,,,,,,,
02000011,LE VIEUX RHIN A KEMBS,2013-11-13,10.0,8.0,9.8,340.0,4.0,4.7,1.8,5.7,0.03,0.5,0.067,0.06,0.03,1.3,10.0
02001000,L'AUGRABEN A BARTENHEIM,2013-01-07,,,,,,,,18.0,,,,,,,
02001000,L'AUGRABEN A BARTENHEIM,2013-02-04,5.5,7.85,12.2,501.0,91.0,88.0,4.6,13.0,0.14,0.9,0.24,0.13,0.06,2.4,17.0
02001000,L'AUGRABEN A BARTENHEIM,2013-03-04,,,,,,,,19.0,,,,,,,
02001000,L'AUGRABEN A BARTENHEIM,2013-04-02,7.3,7.85,10.5,669.0,14.0,4.7,2.4,16.0,0.05,0.5,0.08,0.05,0.04,1.9,7.0
02001000,L'AUGRABEN A BARTENHEIM,2013-04-29,,,,,,,,14.0,,,,,,,
02001000,L'AUGRABEN A BARTENHEIM,2013-05-27,11.0,7.7,9.6,653.0,27.0,4.1,2.2,16.0,0.08,0.5,0.15,0.13,0.15,0.8,8.0
02001000,L'AUGRABEN A BARTENHEIM,2013-06-24,14.7,7.65,7.5,682.0,27.0,8.4,2.5,16.0,0.1,0.6,0.26,0.08,0.18,1.0,8.0
02001000,L'AUGRABEN A BARTENHEIM,2013-07-22,16.5,7.65,7.3,704.0,9.9,6.0,1.6,16.0,0.06,0.5,0.13,0.05,0.09,0.5,10.0
02001000,L'AUGRABEN A BARTENHEIM,2013-08-19,,,,,,,,14.7,,,,,,,
02001000,L'AUGRABEN A BARTENHEIM,2013-09-16,14.0,7.7,8.4,700.0,7.0,3.2,2.0,15.3,0.04,0.5,0.113,0.12,0.07,0.8,10.0
02001000,L'AUGRABEN A BARTENHEIM,2013-10-14,,,,,,,,13.4,,,,,,,
02001000,L'AUGRABEN A BARTENHEIM,2013-11-12,7.5,7.8,8.2,620.0,10.0,9.8,3.6,10.7,0.11,0.5,0.229,0.07,0.1,1.7,13.0
02001025,LE RIEDGRABEN A LANDSER,2013-01-08,,,,,,,,40.0,,,,,,,
02001025,LE RIEDGRABEN A LANDSER,2013-02-05,7.1,7.7,8.3,668.0,160.0,30.0,4.4,24.0,0.16,1.5,0.23,0.35,0.06,1.7,29.0
02001025,LE RIEDGRABEN A LANDSER,2013-03-05,,,,,,,,39.0,,,,,,,
02001025,LE RIEDGRABEN A LANDSER,2013-04-03,7.3,8.1,10.5,705.0,32.0,4.8,2.1,34.0,0.04,0.5,0.11,0.06,0.07,1.4,8.0
02001025,LE RIEDGRABEN A LANDSER,2013-05-02,,,,,,,,30.0,,,,,,,
02001025,LE RIEDGRABEN A LANDSER,2013-06-25,12.8,8.2,9.7,752.0,50.0,6.0,1.5,39.0,0.08,0.7,0.12,0.08,0.12,0.9,11.0
02001025,LE RIEDGRABEN A LANDSER,2013-07-23,15.6,8.2,9.7,769.0,41.0,21.0,1.3,44.0,0.06,0.5,0.11,0.05,0.16,0.5,10.0
02001025,LE RIEDGRABEN A LANDSER,2013-08-20,,,,,,,,43.8,,,,,,,
02001025,LE RIEDGRABEN A LANDSER,2013-09-17,12.0,8.2,8.1,690.0,27.0,10.5,2.7,31.2,0.17,0.6,0.453,0.3,0.55,1.8,14.0
02001025,LE RIEDGRABEN A LANDSER,2013-10-15,,,,,,,,24.3,,,,,,,
02001025,LE RIEDGRABEN A LANDSER,2013-11-13,9.5,8.0,8.8,820.0,21.0,8.4,3.2,26.3,0.09,0.5,0.178,0.1,0.16,1.8,17.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-01-21,5.7,8.2,11.0,444.0,20.0,,1.01,,0.047,0.6,,,,2.1,6.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-02-18,6.9,8.5,11.5,450.0,10.0,,0.95,,0.02,0.5,,,,2.3,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-03-18,7.8,8.3,10.9,438.0,5.0,,1.25,,0.02,0.5,,,,2.0,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-04-15,13.2,8.4,9.7,438.0,6.0,,1.23,,0.02,0.5,,,,2.0,9.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-05-13,12.3,8.5,9.9,430.0,15.0,,1.09,,0.02,0.5,,,,3.6,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-06-10,15.7,8.5,9.0,429.0,17.0,,1.37,,0.026,0.6,,,,2.0,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-07-08,18.4,8.3,8.7,410.0,10.0,,1.25,,0.031,0.5,,,,2.0,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-08-05,19.1,8.2,8.6,415.0,10.0,,1.31,,0.031,0.5,,,,2.0,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-09-02,16.6,8.2,9.1,396.0,13.0,,1.26,,0.031,0.5,,,,2.0,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-09-30,15.2,8.2,9.2,431.0,10.0,,1.18,,0.021,0.5,,,,2.0,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-10-28,14.8,8.2,8.7,412.0,8.0,,1.59,,0.025,0.5,,,,2.0,5.0
02001046,LE MUHLBACH DE SCHOENAU A SCHOENAU,2013-11-25,8.1,8.0,11.1,458.0,7.0,,1.28,,0.025,0.5,,,,1.3,5.0
02001050,LE RHIN A RHINAU,2013-01-14,5.9,8.15,10.4,392.0,4.6,4.1,2.4,7.9,0.03,0.5,0.09,0.07,0.08,0.8,5.0
02001050,LE RHIN A RHINAU,2013-02-11,4.6,8.2,13.9,429.0,4.1,2.9,1.9,7.2,0.04,0.5,0.06,0.05,0.06,1.8,5.0
02001050,LE RHIN A RHINAU,2013-03-11,7.5,8.15,12.7,411.0,4.2,2.1,1.9,8.8,0.02,0.5,0.03,0.1,0.08,0.9,5.0
02001050,LE RHIN A RHINAU,2013-04-08,7.3,8.25,15.4,418.0,2.0,0.74,2.2,6.9,0.01,0.5,0.05,0.05,0.11,1.4,5.0
02001050,LE RHIN A RHINAU,2013-05-06,12.6,8.25,10.4,357.0,16.0,7.1,2.0,5.4,0.03,0.5,0.1,0.06,0.07,0.5,7.0
02001050,LE RHIN A RHINAU,2013-06-03,11.8,8.25,12.0,328.0,530.0,0.37,2.7,5.9,0.25,1.1,0.06,0.09,0.06,2.2,15.0
02001050,LE RHIN A RHINAU,2013-07-01,17.0,8.4,8.5,350.0,11.0,3.7,1.9,4.2,0.03,0.5,0.015,0.05,0.06,1.1,7.0
02001050,LE RHIN A RHINAU,2013-07-29,24.0,8.1,7.6,340.0,4.0,1.0,1.9,4.3,0.02,0.5,0.032,0.07,0.07,0.6,5.0
02001050,LE RHIN A RHINAU,2013-08-26,22.0,8.1,8.4,310.0,4.0,0.8,1.7,4.5,0.02,0.5,0.029,0.08,0.08,0.6,5.0
02001050,LE RHIN A RHINAU,2013-09-23,16.0,8.1,6.7,290.0,16.0,3.2,1.7,4.6,0.02,0.5,0.028,0.06,0.05,0.5,5.0
02001050,LE RHIN A RHINAU,2013-10-21,14.0,8.2,9.7,340.0,6.0,5.4,2.0,4.9,0.02,0.5,0.04,0.07,0.06,1.2,5.0
02001050,LE RHIN A RHINAU,2013-11-18,10.0,8.2,9.5,370.0,6.0,3.4,1.9,5.9,0.02,0.5,0.041,0.05,0.05,1.3,5.0
02001700,LE RHIN A GAMBSHEIM,2013-01-14,5.9,8.05,10.3,390.0,6.2,4.6,2.2,7.9,0.03,0.5,0.09,0.05,0.08,0.6,7.0
02001700,LE RHIN A GAMBSHEIM,2013-02-11,4.2,8.2,13.5,407.0,8.9,5.4,2.3,7.5,0.06,0.5,0.07,0.06,0.06,0.5,7.0
02001700,LE RHIN A GAMBSHEIM,2013-03-11,6.8,8.15,12.4,419.0,5.7,3.1,1.9,7.8,0.03,0.6,0.04,0.08,0.08,0.9,5.0
02001700,LE RHIN A GAMBSHEIM,2013-04-08,7.8,8.45,14.1,425.0,2.0,0.73,2.2,7.1,0.01,0.5,0.06,0.05,0.09,1.6,5.0
02001700,LE RHIN A GAMBSHEIM,2013-05-06,13.1,8.2,10.3,358.0,25.0,19.0,2.0,5.7,0.04,0.5,0.07,0.07,0.07,0.6,5.0
02001700,LE RHIN A GAMBSHEIM,2013-06-03,12.1,8.3,11.8,334.0,400.0,0.4,2.8,6.5,0.16,1.1,0.07,0.13,0.06,1.9,9.0
02001700,LE RHIN A GAMBSHEIM,2013-07-01,17.3,8.35,8.6,353.0,14.0,6.0,1.9,4.2,0.03,0.5,0.03,0.05,0.06,0.8,5.0
02001700,LE RHIN A GAMBSHEIM,2013-07-29,23.0,8.1,7.8,350.0,6.0,0.4,1.8,4.7,0.02,0.5,0.039,0.05,0.06,1.2,5.0
02001700,LE RHIN A GAMBSHEIM,2013-08-26,21.0,7.9,8.6,340.0,5.0,1.9,1.7,4.2,0.02,0.5,0.025,0.06,0.05,1.0,5.0
02001700,LE RHIN A GAMBSHEIM,2013-09-23,16.0,8.1,5.4,300.0,14.0,1.7,1.9,4.5,0.02,0.5,0.032,0.07,0.05,0.5,5.0
02001700,LE RHIN A GAMBSHEIM,2013-10-21,14.0,8.1,10.7,340.0,23.0,12.5,2.0,5.2,0.03,0.5,0.062,0.08,0.05,1.3,7.0
02001700,LE RHIN A GAMBSHEIM,2013-11-18,9.5,8.2,9.5,360.0,9.0,5.3,1.8,6.2,0.02,0.5,0.058,0.05,0.04,1.5,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-01-15,,,,,,,,10.0,,,,,,,
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-02-11,3.9,8.4,13.6,422.0,2.0,3.0,1.9,11.0,0.03,0.5,0.05,0.05,0.05,0.6,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-03-11,,,,,,,,9.7,,,,,,,
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-04-08,8.5,8.45,13.2,421.0,3.6,1.6,2.1,8.4,0.01,0.5,0.04,0.05,0.07,1.8,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-05-06,,,,,,,,8.6,,,,,,,
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-05-23,12.7,8.0,10.1,410.0,8.7,3.9,,,0.03,0.5,,,,0.6,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-06-03,14.6,7.9,10.6,396.0,7.2,3.6,1.9,9.4,0.04,0.5,0.07,0.13,0.08,1.1,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-06-19,22.4,7.9,8.5,383.0,5.2,3.3,,,0.03,0.5,,,,0.5,7.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-07-01,18.6,8.15,9.0,398.0,4.1,2.1,1.9,8.2,0.02,0.5,0.02,0.05,0.08,0.6,7.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-07-25,23.4,8.4,8.1,362.0,12.0,4.0,,,0.03,0.5,,,,1.0,7.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-07-29,23.0,8.1,7.7,350.0,10.0,8.1,1.8,6.8,0.02,0.5,0.055,0.08,0.1,1.6,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-08-26,,,,,,,,6.2,,,,,,,
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-08-29,19.0,8.2,9.1,349.0,9.0,2.1,,,0.03,0.5,,,,0.5,6.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-09-23,16.0,8.2,8.2,350.0,6.0,4.7,2.1,7.9,0.02,0.5,0.018,0.05,0.04,0.7,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-09-26,17.8,8.1,9.3,381.0,4.2,2.9,,,0.02,0.5,,,,2.1,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-10-21,,,,,,,,8.7,,,,,,,
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-10-23,14.6,8.1,9.7,379.0,6.2,3.0,,,0.02,0.5,,,,1.7,5.0
02001715,LE CANAL DU RHONE AU RHIN A MACKENHEIM,2013-11-18,8.5,8.1,11.0,410.0,2.0,2.2,1.7,9.7,0.02,0.5,0.033,0.09,0.03,1.4,5.0
02001725,L'ISCHERT A SUNDHOUSE,2013-01-15,6.4,8.15,10.6,500.0,15.0,11.0,0.8,11.0,0.01,0.5,0.05,0.05,0.03,0.9,7.0
02001725,L'ISCHERT A SUNDHOUSE,2013-02-12,6.1,8.1,10.7,477.0,20.0,6.3,1.1,11.0,0.02,0.5,0.04,0.05,0.02,0.7,5.0
02001725,L'ISCHERT A SUNDHOUSE,2013-03-12,7.2,8.05,7.2,484.0,8.5,3.5,1.2,11.0,0.02,0.5,0.03,0.07,0.03,2.2,9.0
02001725,L'ISCHERT A SUNDHOUSE,2013-04-09,8.9,8.25,11.5,460.0,4.7,1.7,1.1,9.4,0.01,0.5,0.015,0.1,0.02,1.6,5.0
02001725,L'ISCHERT A SUNDHOUSE,2013-05-06,14.2,7.95,9.0,480.0,14.0,5.8,1.2,9.0,0.03,0.5,0.04,0.06,0.04,0.5,5.0
02001725,L'ISCHERT A SUNDHOUSE,2013-06-04,12.4,7.5,8.0,543.0,15.0,5.7,1.7,11.0,0.03,0.5,0.04,0.05,0.04,0.8,5.0
02001725,L'ISCHERT A SUNDHOUSE,2013-07-02,16.9,7.9,8.6,492.0,11.0,6.1,1.4,10.0,0.02,0.5,0.09,0.06,0.06,0.5,6.0
02001725,L'ISCHERT A SUNDHOUSE,2013-07-30,18.0,7.9,8.9,440.0,17.0,9.0,2.1,7.6,0.06,0.5,0.097,0.13,0.09,1.3,10.0
02001725,L'ISCHERT A SUNDHOUSE,2013-08-27,17.0,7.95,7.6,430.0,13.0,5.6,1.0,8.2,0.03,0.5,0.099,0.05,0.03,0.5,8.0
02001725,L'ISCHERT A SUNDHOUSE,2013-09-24,14.0,7.9,8.8,500.0,14.0,3.4,1.0,10.0,0.01,0.5,0.036,0.05,0.02,0.5,6.0
02001725,L'ISCHERT A SUNDHOUSE,2013-10-22,14.0,7.8,7.9,520.0,12.0,4.4,1.3,10.5,0.02,0.5,0.05,0.05,0.02,1.0,7.0
02001725,L'ISCHERT A SUNDHOUSE,2013-11-19,10.0,8.0,8.9,490.0,9.0,2.7,1.0,11.0,0.02,0.5,0.019,0.05,0.02,0.9,7.0
02001725,L'ISCHERT A SUNDHOUSE,2013-12-16,7.4,8.1,12.0,460.0,9.0,4.1,1.1,11.3,0.03,0.5,0.051,0.05,0.02,1.2,8.0
02001750,L'ILL A OLTINGUE,2013-01-07,7.5,8.25,11.7,573.0,5.3,4.5,1.3,13.0,0.03,0.5,0.08,0.06,0.02,0.5,5.0
02001750,L'ILL A OLTINGUE,2013-02-04,8.1,8.1,12.0,518.0,19.0,12.0,1.9,10.0,0.04,0.5,0.09,0.05,0.01,1.5,6.0
02001750,L'ILL A OLTINGUE,2013-03-04,6.0,8.3,15.1,558.0,5.1,2.3,2.8,12.0,0.02,0.5,0.07,0.07,0.02,1.3,5.0
02001750,L'ILL A OLTINGUE,2013-04-02,7.4,7.8,11.5,485.0,7.2,2.2,1.9,9.6,0.07,0.5,0.08,0.05,0.01,1.6,5.0
02001750,L'ILL A OLTINGUE,2013-04-29,9.5,8.2,10.8,528.0,11.0,4.7,2.3,8.5,0.03,0.5,0.08,0.07,0.02,1.7,10.0
02001750,L'ILL A OLTINGUE,2013-05-27,9.7,8.25,10.7,508.0,8.7,4.2,1.9,10.0,0.02,0.5,0.09,0.07,0.04,0.8,5.0
02001750,L'ILL A OLTINGUE,2013-06-24,11.6,8.1,9.8,529.0,9.1,3.0,1.6,12.0,0.04,0.5,0.09,0.05,0.03,1.1,5.0
02001750,L'ILL A OLTINGUE,2013-07-22,15.6,8.15,9.0,547.0,4.4,2.2,1.4,12.0,0.04,0.5,0.08,0.06,0.05,1.2,6.0
02001750,L'ILL A OLTINGUE,2013-08-19,16.0,8.15,9.8,530.0,4.0,3.2,1.6,11.5,0.04,0.5,0.12,0.08,0.03,1.1,5.0
02001750,L'ILL A OLTINGUE,2013-09-16,13.0,8.25,9.7,540.0,4.0,3.2,1.6,11.8,0.05,0.5,0.14,0.05,0.03,0.7,9.0
02001750,L'ILL A OLTINGUE,2013-10-14,11.0,8.3,9.6,540.0,8.0,4.9,2.7,11.6,0.05,0.5,0.111,0.05,0.02,1.9,9.0
02001750,L'ILL A OLTINGUE,2013-11-12,8.0,8.2,10.5,580.0,12.0,9.2,2.2,11.5,0.04,0.5,0.088,0.05,0.02,1.8,9.0
02002000,L'ILL A CARSPACH,2013-01-09,,,,,,,,16.0,,,,,,,
02002000,L'ILL A CARSPACH,2013-02-04,5.8,8.25,12.3,477.0,46.0,30.0,3.6,12.0,0.1,0.6,0.2,0.12,0.05,2.1,10.0
02002000,L'ILL A CARSPACH,2013-03-04,,,,,,,,15.0,,,,,,,
02002000,L'ILL A CARSPACH,2013-04-02,6.2,8.55,10.3,518.0,5.9,2.7,2.6,13.0,0.07,0.6,0.19,0.06,0.06,1.8,6.0
02002000,L'ILL A CARSPACH,2013-04-29,,,,,,,,13.0,,,,,,,
02002000,L'ILL A CARSPACH,2013-05-27,10.9,8.3,11.5,517.0,5.7,2.3,1.3,14.0,0.09,0.5,0.26,0.1,0.17,1.5,6.0
02002000,L'ILL A CARSPACH,2013-06-24,14.4,8.35,9.6,544.0,46.0,11.0,2.7,15.0,0.14,0.5,0.45,0.12,0.23,1.1,10.0
02002000,L'ILL A CARSPACH,2013-07-22,19.5,8.2,9.0,548.0,22.0,11.0,2.4,15.0,0.14,0.5,0.35,0.05,0.12,0.7,13.0
02002000,L'ILL A CARSPACH,2013-08-19,,,,,,,,15.0,,,,,,,
02002000,L'ILL A CARSPACH,2013-09-16,14.0,8.3,9.8,550.0,11.0,4.5,2.5,16.0,0.15,0.5,0.397,0.05,0.08,1.2,10.0
02002000,L'ILL A CARSPACH,2013-10-14,,,,,,,,13.8,,,,,,,
02002000,L'ILL A CARSPACH,2013-11-12,7.9,8.3,11.6,550.0,20.0,14.9,3.1,13.7,0.11,0.5,0.225,0.07,0.09,1.7,15.0
02003100,LE THALBACH A WITTERSDORF,2013-01-09,6.4,8.05,12.1,737.0,13.0,4.9,1.9,30.0,0.1,0.8,0.23,0.23,0.18,0.5,5.0
02003100,LE THALBACH A WITTERSDORF,2013-02-04,6.0,8.1,12.0,659.0,15.0,14.0,3.1,24.0,0.09,0.5,0.19,0.14,0.06,2.5,12.0
02003100,LE THALBACH A WITTERSDORF,2013-03-04,5.4,8.2,13.5,766.0,4.6,2.1,3.5,29.0,0.08,0.5,0.15,0.21,0.12,2.1,6.0
02003100,LE THALBACH A WITTERSDORF,2013-04-02,6.0,8.4,11.3,660.0,4.6,1.5,2.3,25.0,0.05,0.5,0.14,0.13,0.09,2.5,5.0
02003100,LE THALBACH A WITTERSDORF,2013-04-29,9.7,8.1,11.5,709.0,5.8,2.2,2.8,23.0,0.07,0.6,0.2,0.2,0.16,1.2,11.0
02003100,LE THALBACH A WITTERSDORF,2013-05-27,10.7,7.85,10.5,669.0,17.0,6.4,2.6,27.0,0.08,0.5,0.25,0.12,0.18,1.5,8.0
02003100,LE THALBACH A WITTERSDORF,2013-06-24,13.9,8.05,9.3,710.0,33.0,10.0,2.4,29.0,0.15,0.6,0.4,0.27,0.4,1.4,9.0
02003100,LE THALBACH A WITTERSDORF,2013-07-22,18.2,7.8,9.5,710.0,9.4,6.1,2.7,27.0,0.17,0.5,0.44,0.16,0.27,0.5,10.0
02003100,LE THALBACH A WITTERSDORF,2013-08-19,17.0,7.9,8.2,710.0,15.0,5.0,2.4,31.3,0.18,0.5,0.47,0.16,0.22,2.0,5.0
02003100,LE THALBACH A WITTERSDORF,2013-09-16,14.0,8.1,9.3,710.0,10.0,4.5,2.9,27.1,0.17,0.5,0.475,0.06,0.17,1.1,10.0
02003100,LE THALBACH A WITTERSDORF,2013-10-14,12.0,8.2,9.2,690.0,17.0,9.4,3.4,21.2,0.12,0.5,0.282,0.18,0.19,2.2,9.0
02003100,LE THALBACH A WITTERSDORF,2013-11-12,9.6,8.2,10.9,730.0,23.0,16.8,2.8,21.9,0.09,0.5,0.196,0.15,0.12,1.8,12.0
02003200,L'ILL A TAGOLSHEIM,2013-01-07,7.8,7.95,12.3,641.0,6.1,3.7,2.0,20.0,0.08,0.7,0.23,0.2,0.14,0.8,9.0
02003200,L'ILL A TAGOLSHEIM,2013-02-05,6.7,8.05,11.5,480.0,420.0,0.44,3.4,13.0,0.3,2.3,0.25,0.13,0.05,3.2,42.0
02003200,L'ILL A TAGOLSHEIM,2013-03-05,4.5,8.35,14.1,642.0,3.3,1.9,1.9,19.0,0.05,0.5,0.13,0.08,0.09,2.5,5.0
02003200,L'ILL A TAGOLSHEIM,2013-04-03,6.1,8.35,13.2,569.0,4.3,1.5,2.4,15.0,0.07,0.5,0.14,0.05,0.08,1.4,10.0
02003200,L'ILL A TAGOLSHEIM,2013-04-29,10.1,7.75,9.5,629.0,12.0,5.2,2.6,17.0,0.08,0.6,0.18,0.13,0.11,3.1,10.0
02003200,L'ILL A TAGOLSHEIM,2013-05-28,11.4,8.1,10.7,628.0,2.8,2.0,2.8,17.0,0.14,0.5,0.41,0.06,0.15,1.4,5.0
02003200,L'ILL A TAGOLSHEIM,2013-06-25,13.8,8.25,9.2,642.0,42.0,12.0,2.4,17.0,0.19,0.6,0.37,0.13,0.28,1.0,8.0
02003200,L'ILL A TAGOLSHEIM,2013-07-23,19.4,8.0,9.2,640.0,20.0,4.9,2.5,16.0,0.21,0.5,0.54,0.06,0.21,0.5,13.0
02003200,L'ILL A TAGOLSHEIM,2013-08-20,17.0,8.15,6.7,600.0,21.0,10.3,2.4,18.0,0.2,0.5,0.516,0.06,0.1,1.3,8.0
02003200,L'ILL A TAGOLSHEIM,2013-09-17,13.0,8.3,9.5,550.0,40.0,9.7,2.5,16.6,0.19,0.6,0.515,0.22,0.14,2.0,12.0
02003200,L'ILL A TAGOLSHEIM,2013-10-15,12.0,8.3,9.2,580.0,11.0,2.8,3.2,15.2,0.14,0.5,0.349,0.07,0.11,1.7,8.0
02003200,L'ILL A TAGOLSHEIM,2013-11-13,7.9,8.3,13.4,610.0,18.0,9.1,2.6,16.5,0.12,0.5,0.245,0.14,0.11,1.7,14.0
02003200,L'ILL A TAGOLSHEIM,2013-12-10,3.7,8.3,12.5,740.0,5.0,2.2,2.6,18.7,0.11,0.5,0.302,0.15,0.17,1.4,8.0
02003350,LA LARGUE A SEPPOIS-LE-BAS,2013-01-09,,,,,,,,12.0,,,,,,,
02003350,LA LARGUE A SEPPOIS-LE-BAS,2013-02-04,5.2,8.25,12.1,376.0,23.0,23.0,3.4,8.4,0.08,0.6,0.16,0.1,0.03,2.4,9.0
02003350,LA LARGUE A SEPPOIS-LE-BAS,2013-03-04,,,,,,,,10.0,,,,,,,
02003350,LA LARGUE A SEPPOIS-LE-BAS,2013-04-02,5.2,8.15,12.4,435.0,5.2,2.9,2.5,9.6,0.06,0.5,0.14,0.07,0.04,1.8,8.0
02003350,LA LARGUE A SEPPOIS-LE-BAS,2013-04-29,,,,,,,,9.0,,,,,,,
02003350,LA LARGUE A SEPPOIS-LE-BAS,2013-05-27,9.7,8.05,10.9,449.0,5.3,3.9,2.4,11.0,0.07,0.5,0.21,0.14,0.13,1.4,7.0
02003350,LA LARGUE A SEPPOIS-LE-BAS,2013-06-24,13.2,8.15,9.5,466.0,6.1,1.8,2.5,13.0,0.12,0.5,0.28,0.16,0.13,1.5,9.0
